title,performer
The Language of Dreams: A Crash Course,"REM Doula, LLC"
Liberace and Liza – A Tribute,David Saffert and Jillian Snow
Live at the Manor: Diary of a 7ft Canadian Man in a Dress,Joan-E
"Love, Katiuska",Kat Lozano
Magic Faraway Cabaret with Mister Meredith,Mister Meredith / PBH's Free Fringe
Magic Ink,Lorenzo
Magical Maestro,Oliver Tabor
The Man With the Golden Hands – Stuart Lightbody,Stuart Lightbody / PBH's Free Fringe
Meat Loaf – Just the Best Bits,Antony (Dr H) Hubmayer / PBH's Free Fringe
Manic,Senora Directora
Mason King – The Mind Spy,Elite Entertainment
Max Davidson: Strangers,Max Davidson
Midday Cabaret,RGB Monster
Millicent Sarre is Too Tired to Smash (Patriarchy),Millicent Sarre
Mindreading and Other Freaking Wonders,Christian Lavey
Monty Python's Previous Cabaret Singalong Circus,Antony (Dr H) Hubmayer
My History of Country,Edinburgh Little Theatre
Oil Whiskey,AK INK LLC / PBH's Free Fringe
The Professional Showoff,Andy Boyd / PBH's Free Fringe
"Pure Heaven: Drag, Jazz and Desperation",Kaja Orania
Queen – A Night at the Cabaret Opera,Antony (Dr H) Hubmayer
Rainbows!,Tim Clarkson
Rebel Rebel,Blond Ambition Productions and The Voodoo Rooms Present
Robot Vacuum Fight Club,International Ghost Society
The Rocky Horror Singalonga Cabaret Show,Antony (Dr H) Hubmayer / PBH's Free Fringe
Sarah Hester Ross: Serving C*nt,Sarah Hester Ross
The Secret Room at Lauriston Castle,Edinburgh International Magic Festival
Self Censored,Oscar Brennan
Sexy Circus Sideshow 3.0,International Fringe Burlesque Festival
She Burns,Best Laid Schemes
Sid Ozalid: Amazing Wonders of Scotland,Sid Ozalid
Siegfried Joy: Las Vegas in Edinburgh,Siegfried & Joy
Sing-a-Long Saturdays,Brewhemia
Singalonga Pub Quiz,Mister Meredith / PBH's Free Fringe
Sip Sparkle Skull,Melissa Western
Sir Dickie Benson's Midnight / Midday Mania Cabaret,Drunk 'n' Whispers / PBH's Free Fringe
The Summer I Turned Orange,Deirdre O'Toole
Skank Sinatra: How to Succeed in Show Business Without Really Trying,Jens Radda
Slay the Vamps Down: A Buffy Burlesque Parody,Clumsy Cabaret
Sleight of Sound,John Watson
A Slice of Elvis,Mike McAlpine / Free Festival
"Sodom, The Quintessence of Debauchery",Nikita Matthews Production
Swamplesque,Trigger Happy Productions
Table for Two,Jack Kenyon
Taiwan Season: Birthday Party,Lu Production
Take That Robbie Williams – A Singalonga Cabaret,Antony (Dr H) Hubmayer
Thank You for the Muesli,Flabba
"Thank You, F*ck You and I'm Sorry",Jonny Forever
Theatre: The Musical Cabaret,Ostribian Players
Tia Kofi Presents: The Final FronTia Live,W!ZARD Live
Underground Magic,Edinburgh Magic Company / PBH's Free Fringe
Unmasked – The Magic of Angus Baskerville,Angus Baskerville
Unstoppable,The Performance Academy Scotland
The Upside Down Cabaret Tom Read Wilson: A-Z of Me,Tom Read Wilson
Wanted: Drag or Alive! Trudy Carmichael's Spontaneous Vegas!,TruSongstress Productions / PBH's Free Fringe
Trying My Best,Tom Timon / PBH's Free Fringe
When Harry Met Sally Met Julie Met Jazz Met Kierkegaard Met Jung Met Lovely Johnny Marr,Angela Jackson
The Whisky Show,Edinburgh Little Theatre
Who's The Daddy?,Teena / PBH's Free Fringe
Wrigglers After Dark!,Recitals for Wrigglers
XXX Revue,Blond Ambition Productions and The Voodoo Rooms Present
Your Inner Diva is Showing: Self-Love in Sequins!,Jacqui Randa Drag Cabaret Star
3 Labours: A Hercules Panto,Bristol PantoSoc
101 Ways to Annoy Your Parents... and Other Really Old People!,Last Dodo Entertainment
